ENSEMBL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	regulation
ENSG00000151746	164.457741191501	0.402009609512933	0.237264329777594	1.6943533395423	0.0901981604429725	0.178027480308655	NotSig
ENSG00000139132	121.833173713042	0.0978055415999687	0.288446145650766	0.339077304636221	0.734551495021963	0.806704499928716	NotSig
ENSG00000087470	851.418291824667	-0.00147532417516942	0.0972450988369582	-0.0151711931276142	0.987895603571237	0.991963707611063	NotSig
ENSG00000139131	423.574116045399	-0.437365350542174	0.181311814140845	-2.41222753528032	0.015855383182766	0.0502292781114216	NotSig
ENSG00000057294	341.352606126061	-0.413769262998969	0.171547249437071	-2.41198424548773	0.015865967088718	0.0502336791937775	NotSig
ENSG00000110975	8.38249180276282	0.280672904992769	0.543964173185308	0.515976821321198	0.605870598016056	0.700788124399878	NotSig
ENSG00000139133	28.4836055860083	0.34945049975306	0.276043717273741	1.26592448183316	0.205540120481753	0.321257018729304	NotSig
ENSG00000139117	51.952871706146	0.120256360059669	0.211553770553982	0.568443472998669	0.569733878429966	0.671015831261846	NotSig
ENSG00000139116	929.869073201858	-0.0401193616563427	0.185814416210355	-0.215910920554865	0.829057184496389	0.880677952942489	NotSig
ENSG00000151229	27.9905359055556	0.31690017734178	0.30546631367914	1.03743084965713	0.299535107241721	0.422735650676755	NotSig
ENSG00000188906	59.1814518085543	-0.374924732118699	0.193817744302061	-1.93441902581626	0.0530616290755795	0.121769209850081	NotSig
ENSG00000018236	31.1728419147884	-0.964164864637334	0.403705037622398	-2.38829039715664	0.0169269607343991	0.052810665408459	NotSig
ENSG00000165966	14.2256635295878	-1.60150581470508	0.336698411829287	-4.75649946194899	1.96978763881479e-06	2.73363994761655e-05	Down
ENSG00000151233	53.924936578918	0.404820528599215	0.374406756425088	1.08123189993825	0.279593971417084	0.401553278235728	NotSig
ENSG00000015153	166.524782777158	-0.661285856354126	0.262034765986085	-2.52365694248848	0.0116141205700304	0.0396995345662221	NotSig
ENSG00000134283	868.706828997201	-0.179580469286374	0.132018942454338	-1.36026289824649	0.173746744726143	0.283958798256009	NotSig
ENSG00000139168	752.304020125521	-1.03612061993679	0.33153626229691	-3.12521053582032	0.00177677842961826	0.0093210948547016	Down
ENSG00000139174	420.996161387787	0.346865901720058	0.242073726691664	1.4328936331115	0.151888237082188	0.258347506318415	NotSig
ENSG00000173157	94.8913232506598	1.07600027458997	0.245302455751694	4.3864227583565	1.15230058271452e-05	0.000132338553454213	Up
ENSG00000129317	23.5233076016934	-2.87158774391555	0.330582959954129	-8.68643605923911	3.73987292745998e-18	3.97158244579174e-16	Down
ENSG00000198001	25.8501242332314	-1.37354225280804	0.290872324786511	-4.72214829587575	2.33366418341129e-06	3.1932631753401e-05	Down
ENSG00000151239	249.071620008977	0.356090470560123	0.150444838565801	2.36691716349165	0.0179369469838134	0.0551428483423085	NotSig
ENSG00000139173	65.6757345468698	-0.198127667743735	0.182485995039407	-1.08571437331917	0.277605379593143	0.399480247244454	NotSig
ENSG00000184613	1221.00334487054	-0.0258284915190499	0.171529701308846	-0.150577371277203	0.880309112939421	0.917479033183656	NotSig
ENSG00000177119	387.43568100307	0.153272852106327	0.409438321216271	0.374349063495124	0.708144633821097	0.785963314802195	NotSig
ENSG00000189079	377.393187480895	0.602011493802805	0.275213967990091	2.18743074052288	0.0287110941166902	0.0777315877110833	NotSig
ENSG00000139218	1013.58654806702	0.370791203029397	0.211390777729854	1.75405572093238	0.079420959852926	0.162967539434981	NotSig
ENSG00000111371	383.676259530543	0.907963398577764	0.528312603368616	1.71861014253385	0.0856853836094307	0.171710556105047	NotSig
ENSG00000134294	761.591049784258	0.859113824990021	0.477643164713769	1.79865198218601	0.0720737490458663	0.152042722364642	NotSig
ENSG00000139209	12.8750113904982	2.73375639314653	0.539830297773517	5.06410330139244	4.10327116547599e-07	6.68892535373199e-06	Up
ENSG00000139211	39.0388768164909	-0.158497239163969	0.252498988442441	-0.627714353002646	0.530191081129604	0.637974740783426	NotSig
ENSG00000005175	531.550472745519	-0.106610167319559	0.139151993021316	-0.766141864049536	0.443591895592267	0.56012745389494	NotSig
ENSG00000079337	26.1927467382257	-0.361360531869841	0.252700307174272	-1.42999640922728	0.152718049660574	0.259421324809862	NotSig
ENSG00000211584	63.5524078624825	0.16841342660356	0.189501771147439	0.88871690002585	0.374155246115386	0.494877719478427	NotSig
ENSG00000061273	1137.11728556679	0.635790766633528	0.2355494429329	2.69918178840544	0.00695101951400161	0.026984110694788	NotSig
